[2024-11-06 16:27:15] info: 	z2m: Logging to console, file (filename: log.log)
[2024-11-06 16:27:15] info: 	z2m: Starting Zigbee2MQTT version 1.41.0 (commit #cc31cea)
[2024-11-06 16:27:15] info: 	z2m: Starting zigbee-herdsman (2.1.7)
[2024-11-06 16:27:16] info: 	zh:ember: Using default stack config.
[2024-11-06 16:27:16] info: 	zh:ember: ======== Ember Adapter Starting ========
[2024-11-06 16:27:16] info: 	zh:ember:ezsp: ======== EZSP starting ========
[2024-11-06 16:27:16] info: 	zh:ember:uart:ash: ======== ASH Adapter reset ========
[2024-11-06 16:27:16] info: 	zh:ember:uart:ash: RTS/CTS config is off, enabling software flow control.
[2024-11-06 16:27:17] info: 	zh:ember:uart:ash: Serial port opened
[2024-11-06 16:27:17] info: 	zh:ember:uart:ash: ======== ASH starting ========
[2024-11-06 16:27:18] info: 	zh:ember:uart:ash: ======== ASH connected ========
[2024-11-06 16:27:18] info: 	zh:ember:uart:ash: ======== ASH started ========
[2024-11-06 16:27:18] info: 	zh:ember:ezsp: ======== EZSP started ========
[2024-11-06 16:27:18] info: 	zh:ember: Adapter EZSP protocol version (13) lower than Host. Switched.
[2024-11-06 16:27:18] info: 	zh:ember: Adapter version info: {"ezsp":13,"revision":"7.4.4 [GA]","build":0,"major":7,"minor":4,"patch":4,"special":0,"type":170}
[2024-11-06 16:27:18] info: 	zh:ember: [STACK STATUS] Network up.
[2024-11-06 16:27:18] info: 	zh:ember: [INIT TC] Adapter network matches config.
[2024-11-06 16:27:18] info: 	zh:ember: [CONCENTRATOR] Started source route discovery. 1247ms until next broadcast.
[2024-11-06 16:27:18] info: 	z2m: zigbee-herdsman started (resumed)
[2024-11-06 16:27:18] info: 	z2m: Coordinator firmware version: '{"meta":{"build":0,"ezsp":13,"major":7,"minor":4,"patch":4,"revision":"7.4.4 [GA]","special":0,"type":170},"type":"EmberZNet"}'
[2024-11-06 16:27:18] info: 	z2m: TempHum1 (0x00158d000af06881): WSDCGQ11LM - Aqara Temperature and humidity sensor (EndDevice)
[2024-11-06 16:27:18] info: 	z2m: Currently 1 devices are joined.
[2024-11-06 16:27:18] warning: 	z2m: `permit_join` set to  `true` in configuration.yaml.
[2024-11-06 16:27:18] warning: 	z2m: Allowing new devices to join.
[2024-11-06 16:27:18] warning: 	z2m: Set `permit_join` to `false` once you joined all devices.
[2024-11-06 16:27:18] info: 	z2m: Zigbee: allowing new devices to join.
[2024-11-06 16:27:18] info: 	zh:ember: [STACK STATUS] Network opened.
[2024-11-06 16:27:19] info: 	z2m: Connecting to MQTT server at mqtt://mqtt
[2024-11-06 16:27:19] error: 	z2m: MQTT error: getaddrinfo ENOTFOUND mqtt
[2024-11-06 16:27:19] error: 	z2m: MQTT failed to connect, exiting... (getaddrinfo ENOTFOUND mqtt)
[2024-11-06 16:27:19] info: 	z2m: Stopping zigbee-herdsman...
[2024-11-06 16:27:20] info: 	zh:ember: [STACK STATUS] Network closed.
[2024-11-06 16:27:20] info: 	zh:controller: Wrote coordinator backup to '/app/data/coordinator_backup.json'
[2024-11-06 16:27:20] info: 	zh:ember:uart:ash: ASH COUNTERS since last clear:
[2024-11-06 16:27:20] info: 	zh:ember:uart:ash:   Total frames: RX=58, TX=108
[2024-11-06 16:27:20] info: 	zh:ember:uart:ash:   Cancelled   : RX=0, TX=0
[2024-11-06 16:27:20] info: 	zh:ember:uart:ash:   DATA frames : RX=57, TX=49
[2024-11-06 16:27:20] info: 	zh:ember:uart:ash:   DATA bytes  : RX=601, TX=567
[2024-11-06 16:27:20] info: 	zh:ember:uart:ash:   Retry frames: RX=0, TX=0
[2024-11-06 16:27:20] info: 	zh:ember:uart:ash:   ACK frames  : RX=0, TX=58
[2024-11-06 16:27:20] info: 	zh:ember:uart:ash:   NAK frames  : RX=0, TX=0
[2024-11-06 16:27:20] info: 	zh:ember:uart:ash:   nRdy frames : RX=0, TX=0
[2024-11-06 16:27:20] info: 	zh:ember:uart:ash:   CRC errors      : RX=0
[2024-11-06 16:27:20] info: 	zh:ember:uart:ash:   Comm errors     : RX=0
[2024-11-06 16:27:20] info: 	zh:ember:uart:ash:   Length < minimum: RX=0
[2024-11-06 16:27:20] info: 	zh:ember:uart:ash:   Length > maximum: RX=0
[2024-11-06 16:27:20] info: 	zh:ember:uart:ash:   Bad controls    : RX=0
[2024-11-06 16:27:20] info: 	zh:ember:uart:ash:   Bad lengths     : RX=0
[2024-11-06 16:27:20] info: 	zh:ember:uart:ash:   Bad ACK numbers : RX=0
[2024-11-06 16:27:20] info: 	zh:ember:uart:ash:   Out of buffers  : RX=0
[2024-11-06 16:27:20] info: 	zh:ember:uart:ash:   Retry dupes     : RX=0
[2024-11-06 16:27:20] info: 	zh:ember:uart:ash:   Out of sequence : RX=0
[2024-11-06 16:27:20] info: 	zh:ember:uart:ash:   ACK timeouts    : RX=0
[2024-11-06 16:27:20] info: 	zh:ember:uart:ash: Port closed.
[2024-11-06 16:27:20] info: 	zh:ember:uart:ash: ======== ASH stopped ========
[2024-11-06 16:27:20] info: 	zh:ember:ezsp: ======== EZSP stopped ========
[2024-11-06 16:27:20] info: 	zh:ember: ======== Ember Adapter Stopped ========
[2024-11-06 16:27:20] info: 	z2m: Stopped zigbee-herdsman
